index,index_x,index_y,pos_x(px),pos_y(px),pos_x(mm),pos_y(mm),disp_x(px),disp_y(px),disp_x(um),disp_y(um),strain_xx,strain_yy,strain_xy,r(px),r(mm),theta,disp_r(px),disp_theta(px),disp_r(um),disp_theta(um),norm_disp(px),norm_disp(um)
2124,43,17,380.0,140.0,1.9791666666666665,0.7291666666666666,5.03582763671875,-2.055572509765625,26.22826894124349,-10.706106821695963,0.026652407197107097,-0.00978000119124772,0.018216204194177407,404.96913462633177,2.1092142428454776,20.22485943116808,4.014711768308239,-3.6697449158016195,20.909957126605413,-19.1132547698001,5.439203832331025,28.329186626724084
2125,43,18,380.0,120.0,1.9791666666666665,0.625,3.37530517578125,-2.7470703125,17.579714457194008,-14.307657877604166,0.03141129771829583,-0.013737042347202078,0.02257417003274895,398.4971769034255,2.075506129705341,17.52556837372287,2.3914034641400317,-3.6359688946928017,12.455226375729332,-18.937337993191672,4.351905367936502,22.666173791335947
2126,43,19,380.0,100.0,1.9791666666666665,0.5208333333333333,1.9456787109375,-2.582550048828125,10.133743286132812,-13.45078150431315,-0.05918183532048715,-0.020861957404122222,-0.019159938958182465,392.93765408777,2.0465502817071353,14.743562836470735,1.2243746565605904,-2.9926805879127323,6.376951336253074,-15.58687806204548,3.2334548707068054,16.84091078493128
2127,43,20,380.0,80.0,1.9791666666666665,0.41666666666666663,1.24365234375,-3.499481201171875,6.47735595703125,-18.226464589436848,0.04759671972860815,-0.0009437351094675251,0.024270227419037838,388.329756778952,2.0225508165570414,11.888658039627975,0.49604592789653246,-3.680621994566609,2.583572541127773,-19.169906221701087,3.7138981985873305,19.34321978430901
2128,43,21,380.0,60.0,1.9791666666666665,0.3125,4.059814453125,-2.5770263671875,21.144866943359375,-13.422012329101562,0.04786694516806165,0.07861544618936023,-0.01537425051064929,384.7076812334269,2.0036858397574315,8.972626614896393,3.608214698770196,-3.1786703161166225,18.792784889428106,-16.55557456310741,4.808654519819681,25.04507562406084
2129,43,22,380.0,40.0,1.9791666666666665,0.20833333333333331,1.02313232421875,-0.17926025390625,5.328814188639322,-0.9336471557617188,0.008420267740730196,-0.008347025553230197,0.008383646646980197,382.099463490856,1.9901013723482082,6.009005957494525,0.9987448544428734,-0.2853816868961255,5.201796116889965,-1.4863629525839868,1.0387174743364023,5.409986845502095
2130,43,23,380.0,20.0,1.9791666666666665,0.10416666666666666,3.11639404296875,-2.90814208984375,16.23121897379557,-15.146573384602863,0.02543825883534737,-0.05557589311269112,0.040507075974019244,380.52595180880894,1.9819059990042132,3.01278750418334,2.9592380997368344,-3.0679165755994435,15.412698436129345,-15.978732164580435,4.262534720770247,22.200701670678367
2131,43,24,380.0,0.0,1.9791666666666665,0.0,2.19635009765625,-2.33306884765625,11.439323425292969,-12.151400248209635,0.055565795261645685,0.03902801577351056,0.008268889744067564,380.0,1.9791666666666665,0.0,2.19635009765625,-2.33306884765625,11.439323425292969,-12.151400248209635,3.2042415638304615,16.68875814495032
2132,43,25,380.0,-20.0,1.9791666666666665,-0.10416666666666666,2.54541015625,-1.256103515625,13.257344563802082,-6.542205810546875,0.025705638338113204,-0.03673011343576945,0.031217875886941325,380.52595180880894,1.9819059990042132,-3.01278750418334,2.6079113000579506,-1.1205835785590403,13.582871354468493,-5.836372804995001,2.838469465311567,14.783695131831077
2133,43,26,380.0,-40.0,1.9791666666666665,-0.20833333333333331,3.95245361328125,-3.764404296875,20.585695902506508,-19.60627237955729,0.08488785774679855,-0.027923746418673543,0.056405802082736045,382.099463490856,1.9901013723482082,-6.009005957494525,4.324812523484271,-3.329958845419052,22.525065226480574,-17.34353565322423,5.458262477700296,28.42845040468904
2134,43,27,380.0,-60.0,1.9791666666666665,-0.3125,3.87945556640625,-2.22906494140625,20.20549774169922,-11.609713236490885,0.04573945623007603,0.09685850519570521,-0.025559524482814594,384.7076812334269,2.0036858397574315,-8.972626614896393,4.179633238835986,-1.5967379226235892,21.768923118937426,-8.31634334699786,4.4742492112897425,23.30338130880074
2135,43,28,380.0,-80.0,1.9791666666666665,-0.41666666666666663,-2.1112060546875,0.35333251953125,-10.995864868164062,1.8402735392252603,-0.19682097066543064,-0.030121473182225602,-0.08334974874160253,388.329756778952,2.0225508165570414,-11.888658039627975,-2.138710433196361,-0.08917711390537975,-11.13911683956438,-0.46446413492385286,2.1405688203623496,11.148795939387238
2136,43,29,380.0,-100.0,1.9791666666666665,-0.5208333333333333,1.75506591796875,-2.45355224609375,9.140968322753906,-12.778917948404947,0.05850579627789557,-0.07642571815289556,0.06746575721539556,392.93765408777,2.0465502817071353,-14.743562836470735,2.3216921665484493,-1.9261153871237162,12.092146700773174,-10.031850974602689,3.0166496317483036,15.711716832022413
2137,43,30,380.0,-120.0,1.9791666666666665,-0.625,4.3431396484375,-2.53985595703125,22.620519002278645,-13.228416442871094,0.004240536002907902,-0.020182918815407902,0.0122117274091579,398.4971769034255,2.075506129705341,-17.52556837372287,4.906372979710796,-1.1141070290868567,25.554025935993728,-5.802640776494044,5.031275214922847,26.20455841105649
2138,43,31,380.0,-140.0,1.9791666666666665,-0.7291666666666666,2.66351318359375,-3.2525634765625,13.872464497884113,-16.94043477376302,0.09428481910494156,-0.03694991920259781,0.06561736915376969,404.96913462633177,2.1092142428454776,-20.22485943116808,3.623717886150616,-2.13122976936748,18.873530657034458,-11.10015504878896,4.20398283158317,21.895743914495675
2139,43,32,380.0,-160.0,1.9791666666666665,-0.8333333333333333,6.60992431640625,-3.8358154296875,34.42668914794922,-19.978205362955727,0.1947260968852788,0.09087570975534617,0.05192519356496632,412.31056256176606,2.1474508466758646,-22.833654177917545,7.580455105406522,-0.9701957916645045,39.481537007325635,-5.053103081585961,7.642288890067381,39.80358796910094
2140,43,33,380.0,-180.0,1.9791666666666665,-0.9375,9.16064453125,1.235595703125,47.71169026692708,6.435394287109375,0.008149898137198762,-0.09236468085204251,0.05025728949462063,420.47592083257274,2.1899787543363165,-25.346175941946694,7.749879443417739,5.038201423324862,40.363955434467385,26.240632413150323,9.243598053220483,48.14373986052335
