index,index_x,index_y,pos_x(px),pos_y(px),pos_x(mm),pos_y(mm),disp_x(px),disp_y(px),disp_x(um),disp_y(um),strain_xx,strain_yy,strain_xy,r(px),r(mm),theta,disp_r(px),disp_theta(px),disp_r(um),disp_theta(um),norm_disp(px),norm_disp(um)
167,10,7,128.0,64.0,0.6736842105263158,0.3368421052631579,-0.01837158203125,2.407684326171875,-0.09669253700657895,12.672022769325658,0.003584219496701735,-0.004416300337766188,0.0040002599172339615,143.10835055998655,0.7532018450525607,26.56505117707799,1.0603171218257823,2.161714349927653,5.580616430662012,11.377443946987647,2.4077544163639377,12.672391665073356
168,10,8,128.0,0.0,0.6736842105263158,0.0,-0.30377197265625,2.1497802734375,-1.598799856085526,11.314633018092104,0.0010654359162174387,-0.0029673009217106028,0.0020163684189640207,128.0,0.6736842105263158,0.0,-0.30377197265625,2.1497802734375,-1.598799856085526,11.314633018092104,2.171136254460434,11.42703291821281
169,10,9,128.0,-64.0,0.6736842105263158,-0.3368421052631579,-0.35711669921875,2.02850341796875,-1.8795615748355263,10.676333778782894,0.002703984777781443,-0.005464871923777537,0.00408442835077949,143.10835055998655,0.7532018450525607,-26.56505117707799,-1.2265891931751471,1.6546411709968232,-6.455732595658668,8.708637742088543,2.059698631735186,10.840519114395715
170,10,10,128.0,-128.0,0.6736842105263158,-0.6736842105263158,-0.31964111328125,1.45263671875,-1.6823216488486843,7.645456414473684,0.0002936123514700739,-0.009896159043364605,0.0050948856974173395,181.01933598375618,0.9527333472829271,-45.0,-1.2531896731758898,0.8011488756815114,-6.595735121978367,4.216573029902692,1.4873882741101745,7.82835933742197
171,10,11,128.0,-192.0,0.6736842105263158,-1.0105263157894737,0.0445556640625,0.76800537109375,0.23450349506578946,4.042133532072369,0.005033332437164972,-0.00819142493594427,0.006612378686554621,230.7552816296953,1.2145014822615543,-56.309932474020215,-0.6143040594731854,0.46308528344535427,-3.2331792603851865,2.4372909655018646,0.7692967289862209,4.048930152559057
172,10,12,128.0,-256.0,0.6736842105263158,-1.3473684210526315,0.5452880859375,0.40997314453125,2.8699372944078947,2.1577533922697367,0.001740805656709199,-0.0034717245409865427,0.002606265098847871,286.2167011199731,1.5064036901051214,-63.43494882292201,-0.122830882553089,0.6710660550150431,-0.6464783292267842,3.531926605342332,0.6822148311948544,3.5906043747097596
173,10,13,128.0,-320.0,0.6736842105263158,-1.6842105263157894,1.4482421875,0.3245849609375,7.622327302631579,1.7083418996710527,0.003880896089867747,-0.0035547394736568094,0.003717817781762278,344.65054765660824,1.813950250824254,-68.19859051364818,0.23649407509780057,1.465206942027378,1.2447056584094767,7.7116154843546205,1.4841700813995624,7.811421481050329
174,10,14,128.0,-384.0,0.6736842105263158,-2.0210526315789474,1.58428955078125,-0.04327392578125,8.338366056743421,-0.2277575041118421,0.0026199132416877546,-0.010644128939929942,0.006632021090808848,404.7715405015526,2.13037652895554,-71.56505117707799,0.5420495959971238,1.4893046192255401,2.852892610511178,7.838445364344948,1.5848804413479194,8.341476007094311
175,10,15,128.0,-448.0,0.6736842105263158,-2.357894736842105,0.89385986328125,-1.0302734375,4.704525596217105,-5.422491776315789,-0.001832710049598063,-1.6824980093588238e-06,-0.0009155137757943521,465.92703291395316,2.452247541652385,-74.05460409907715,1.236194772597302,0.5764297835871652,6.506288276827905,3.033840966248238,1.3639827019442883,7.17885632602257
176,11,0,192.0,512.0,1.0105263157894737,2.694736842105263,0.236328125,-1.3174457550048828,1.2438322368421053,-6.933925026341488,6.056015274680249e-05,-1.833655005611945e-09,3.028099320090405e-05,546.816239700322,2.877980208949063,69.44395478041653,-1.150582555681419,-0.683867006521016,-6.055697661481154,-3.5993000343211365,1.3384746168853563,7.044603246765033
177,11,1,192.0,448.0,1.0105263157894737,2.357894736842105,0.21142578125,-1.3665924072265625,1.112767269736842,-7.1925916169819075,0.00032105938657001065,0.005173430879276242,-0.0024261857463531156,487.40947877529015,2.565313046185737,66.80140948635182,-1.1728119237111563,-0.7326580785519264,-6.172694335321875,-3.8560951502732967,1.3828505589782518,7.278160836727641
178,11,2,192.0,384.0,1.0105263157894737,2.0210526315789474,0.409912109375,-0.6535186767578125,2.157432154605263,-3.4395719829358553,-0.002066586100220036,-0.0036019348272091634,0.0007676743634945637,429.32505167995964,2.2596055351576823,63.43494882292201,-0.4012066060459064,-0.6588989737043677,-2.1116137160310866,-3.4678893352861455,0.7714367104847579,4.060193213077673
179,11,3,192.0,320.0,1.0105263157894737,1.6842105263157894,-0.84552001953125,-1.8265380859375,-4.450105365953947,-9.613358347039474,0.01191226379587107,0.012685500219326684,-0.0003866182117278072,373.18092127009925,1.9641101119478908,59.03624346792648,-2.001259948413765,-0.21471865704518323,-10.532947096914551,-1.1300981949746485,2.0127457571209413,10.593398721689164
180,11,4,192.0,256.0,1.0105263157894737,1.3473684210526315,0.08819580078125,0.9896240234375,0.4641884251644737,5.208547491776316,0.0002716719013733382,0.030992633213372756,-0.015360480655999709,320.0,1.6842105263157894,53.13010235415598,0.8446166992187499,0.5232177734375001,4.445351048519736,2.753777754934211,0.9935462782578733,5.229190938199333
181,11,5,192.0,192.0,1.0105263157894737,1.0105263157894737,0.15960693359375,2.2039794921875,0.8400364925986842,11.599892064144736,0.0023173237733828955,0.009288654238702065,-0.003485665232659585,271.5290039756342,1.429100020924391,45.0,1.6713079895903962,1.445589699453333,8.796357839949453,7.608366839228069,2.209751111603809,11.6302690084411
182,11,6,192.0,128.0,1.0105263157894737,0.6736842105263158,0.2530517578125,2.184478759765625,1.3318513569078947,11.497256630345396,0.006787322156242226,-0.004078887097648476,0.005433104626945351,230.7552816296953,1.2145014822615543,33.690067525979785,1.4222825862624364,1.6772283353240232,7.485697822433876,8.827517554336964,2.1990867750043788,11.574140921075678
183,11,7,192.0,64.0,1.0105263157894737,0.3368421052631579,0.2120361328125,1.68585205078125,1.115979646381579,8.872905530427632,0.004709360473754032,-0.00730311619579993,0.006006238334776981,202.3857702507763,1.06518826447777,18.43494882292201,0.7342683656358988,1.532287970966232,3.864570345452099,8.06467353140122,1.6991340320120207,8.942810694800109
